"Step","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:12 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:12 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:12 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:11 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:11 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:11 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:10 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:10 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:10 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:9 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:9 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:9 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:8 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:8 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:8 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:7 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:7 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:7 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:6 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:6 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:6 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:5 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:5 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:5 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:4 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:4 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:4 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:3 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:3 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:3 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:2 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:2 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:2 to12__MAX"
"0","1.4172899233706204","1.3350270324283178","1.538258128696018","1.4149794752399127","1.2984445889790854","1.5343234141667685","1.4113682664838838","1.3134844303131104","1.5330538617240057","1.3924956616060233","1.3004958364698622","1.4745812151167128","1.3982664013718382","1.3025220102734036","1.4807781908247206","1.3998081387928976","1.3541692627800839","1.4508853753407795","1.410537596837974","1.3163498507605658","1.5788775549994574","1.4129693927588287","1.3291090859307182","1.5780744155248005","1.4055006045986105","1.3102280961142647","1.4721507761213517","1.4060711338196272","1.35864171716902","1.4488007889853585","1.4192782747156827","1.3399108780754938","1.5255645645989313"
"1","1.4016965370119354","1.3031702836354573","1.469149887561798","1.4149889945983887","1.2927848100662231","1.5207764440112643","1.405789968592149","1.2966844505733914","1.5670053296618993","1.4174962750187625","1.281794375843472","1.5046260356903076","1.4040029753505447","1.3098003466924033","1.5116464032067194","1.391046381475013","1.3244100676642523","1.4996845192379422","1.4177735611612414","1.3075783517625597","1.4888124995761445","1.4093881492261537","1.2885454760657418","1.5029299126731022","1.4286347416080074","1.3078874482048883","1.62265145778656","1.392757584467346","1.324908879068163","1.507672799958123","1.4092327543982754","1.3348520861731636","1.5217468076282077"
"2","1.4302316017356922","1.2758324146270752","1.562303900718689","1.4451509047713547","1.2947358157899647","1.5691807270050049","1.4421423281784413","1.3238014512591891","1.5769727494981554","1.4326395745630616","1.3202249738905165","1.5466163953145344","1.4160618340527569","1.3519704341888428","1.5200765000449286","1.420015388064914","1.2795343001683555","1.5167030228508842","1.4341226762827533","1.3167188432481551","1.5474277469846938","1.4292781437620705","1.3025039699342515","1.6234036286671953","1.4279124155456637","1.3089701996909247","1.5513066318300035","1.4286849934745718","1.3166391319698756","1.6500741375817192","1.3976314770586695","1.2516396707958646","1.4754665162828233"
"3","1.4275259986335849","1.2630429135428534","1.5821110672420926","1.4542366061359644","1.2717367940478854","1.6040929555892942","1.456201551689042","1.3029642634921605","1.5829006963306003","1.4469114600876232","1.2457314332326253","1.6564300060272215","1.4629777912740356","1.3017395867241754","1.7076972855461965","1.4283348158185865","1.3375505606333413","1.5327692031860352","1.4266829422594587","1.2813681761423747","1.5787777900695803","1.439929313313814","1.299034767680698","1.5729308393266466","1.4478593444750634","1.3383550379011366","1.5968751907348633","1.4461246879748357","1.3194066286087036","1.6969760921266344","1.409951897499002","1.2815310690138075","1.5417925119400027"
"4","1.4653286646913601","1.2975427177217271","1.6243755221366882","1.4728653124637072","1.2758236991034613","1.6688896814982097","1.4505860042056922","1.2997126314375136","1.57838331328498","1.4594680308191867","1.2869513167275324","1.6399997340308297","1.5018306448135845","1.324772689077589","1.7961457702848644","1.4633646233950133","1.32269639439053","1.653378274705675","1.4693469337107223","1.332037846247355","1.6240482065412734","1.4590702148867243","1.2518045239978366","1.6449329323238797","1.413248986373713","1.3177881638209024","1.5281643072764077","1.4344085802634559","1.3019604285558064","1.5715219974517822","1.4402207388186161","1.258228686120775","1.6191674735811026"
"5","1.5806440972251656","1.3160089784198337","1.8890029324425592","1.5085358868042629","1.2546748982535467","1.6549762354956734","1.54207493180846","1.2950685289171007","1.8160862392849393","1.5103766581526508","1.3097663323084512","1.6963890658484566","1.4844941384630437","1.2949513726764255","1.6387205521265666","1.4743428526469218","1.2899313105477228","1.7171015209621852","1.466757407526911","1.257016274664137","1.6810544596778023","1.4990440883018354","1.2677870326571994","1.7733052670955658","1.4630725023187239","1.2876957257588706","1.6577381557888455","1.4429786431568639","1.2902321020762126","1.624873015615675","1.4445120535882903","1.2986810472276478","1.5616426997714572"
"6","1.6869021466484775","1.353887955347697","2.051695320341322","1.5951077637987003","1.3775534629821777","1.802264028125339","1.5836939270849582","1.3091193305121527","1.9516893757714164","1.543277390577175","1.334269338183933","1.742274271117316","1.568578412503372","1.2683988677130806","1.891389833556281","1.5239454480233017","1.3082580963770551","1.743905120425754","1.5152939039248008","1.2782891194025678","1.9079284270604453","1.5351945400973894","1.2894443935818143","1.7413078281614516","1.4854491353034973","1.3135714928309126","1.6853373845418294","1.4617318689455219","1.2836556169721816","1.6310438050164116","1.4942474788353768","1.27871568997701","1.6068935129377575"
"7","1.9115357457855602","1.366492337650723","2.4644739627838135","1.8747233471108808","1.2807774146397908","2.391630225711399","1.773279954805786","1.3598618507385254","2.2655107975006104","1.6804434539359292","1.2942695882585316","2.321981350580851","1.7550630512428873","1.3779468536376953","2.1312039030922785","1.6171425133943558","1.2747735447353787","2.018213007185194","1.6744786396070763","1.284725719028049","2.186467170715332","1.578717475871981","1.2629773484336007","1.910324573516846","1.5526693343748281","1.2510012653138902","1.8088982502619426","1.514485252860152","1.2856093247731528","1.776698840989007","1.5160177175277545","1.323692136340671","1.7977438370386762"
"8","2.1726894687723233","1.4619939724604287","2.8746472199757895","2.1798845113565526","1.4948419994778104","2.722785181469388","1.9510348424499417","1.3379499514897664","2.5238484806484647","1.8017221385682072","1.3953336742189197","2.358597172631158","1.911092207203677","1.3889252742131553","2.4627828068203397","1.6859261404584955","1.2767554389105902","2.088608317905002","1.7079994080611216","1.2994302113850913","2.258385803964403","1.633873473346969","1.2910249233245852","1.8686075607935586","1.5812469159747347","1.291234215100606","1.8428075578477647","1.5720440967951292","1.299967024061415","1.760132008128696","1.5311700556381251","1.3071848816341824","1.8936185439427695"
"9","2.6278671088777945","1.6168441110187106","3.6144604947831898","2.4852728556013766","1.7249050140380857","3.5013009442223444","2.2686425127364966","1.4491677151785956","3.4697259267171225","2.0786020027266607","1.4401575062010024","2.7621280087365045","2.0417884946973235","1.4595404863357542","2.756155941221449","1.8589815157063212","1.3784165514840019","2.5424201488494873","1.8695209228698115","1.3571603960461087","2.7344129615359836","1.7016411523024242","1.2911233107248943","2.051578217082554","1.6080628782510757","1.287135296397739","1.9454156160354612","1.549321734978829","1.2829902569452922","1.8129198418723214","1.5700062857365902","1.3060504065619576","1.946593933635288"
"10","3.0576677068516056","1.8835238615671794","4.51175316174825","2.9528539068996906","1.633075820075141","4.627624061372545","2.5686834425102045","1.6932798359129166","3.7709087265862364","2.388985589882474","1.5796482563018797","3.727675729327732","2.364784501584959","1.5972998804516265","3.2097917662726507","1.9918596326936908","1.3851312663820057","2.7163779205746126","2.027403480292838","1.4203865263197157","2.8198182582855225","1.824786767547513","1.33687428633372","2.1837989489237466","1.734003319784447","1.31482822365231","2.151715530289544","1.6623738139499853","1.274440950817532","2.104218310779996","1.651012278449388","1.2856891022788153","2.1699133051766286"
"11","3.4545393442666086","2.255512873331705","5.153496477339003","3.3398083531194267","2.0455950763490462","4.917524655659994","2.9568484753002355","1.886617130703396","4.52223547299703","2.7154200551686465","1.7740503946940103","3.9433374669816756","2.6317357774134034","1.6085765626695423","3.85469823413425","2.20937145234626","1.5015113618638782","3.293836037317912","2.1969887347501","1.4462299876742895","3.200099918577406","2.0314600147582866","1.4438506364822388","2.808128542370266","1.7842814639026736","1.2946213086446126","2.295847323205736","1.7357331229212842","1.4342981312010021","2.29706711239285","1.6174208078487418","1.2986366483900282","2.0646678341759572"
"12","4.001495185089699","2.82829221089681","5.944287882910835","3.7971323600245848","2.1014543374379477","6.054831080966526","3.5165785668808733","2.090649061732822","5.359330760108099","2.9187442814862283","1.86454791492886","4.539592557483249","3.015785081886951","1.881150656276279","4.363744073443943","2.4896062145262587","1.635978831185235","3.925595680872599","2.3464836115822383","1.6314416064156423","3.31755092408922","2.180161561678957","1.4936857223510742","2.9309798876444497","1.9690121717659048","1.3365676667955186","2.6855982409583197","1.7776894538122932","1.3544885449939306","2.392544587453206","1.720425322835828","1.2834065622753565","2.1172129180696273"
"13","4.555877465524791","2.7652596102820506","6.785411410861544","4.371080766949389","2.2911782132254706","6.205047766367595","3.866463733308109","2.043677661154005","5.807780477735731","3.3880544268054726","2.090173019303216","4.987565517425537","3.340131224305541","2.19292414188385","4.8604099485609265","2.7084336486863503","1.7707342836591935","4.426345507303875","2.6228437949845818","1.7205126020643446","3.9738387531704378","2.4400533875565475","1.5277003579669526","3.333219157324897","2.097804503860297","1.4671487940682306","2.9688830375671387","2.008918019724481","1.5214448240068221","2.623993158340454","1.7026571357323799","1.316313253508674","2.163785523838467"
"14","4.861690233519047","2.9788450135125055","6.869861125946045","4.812188954816924","2.783526817957561","7.5747164620293495","4.307554521678406","2.4363662799199424","6.4943091604444705","3.739792261962537","2.1914172569910684","6.071420086754694","3.6719031558360578","2.283073955112033","5.208268324534098","3.102449910140332","1.9469230969746907","5.113606399959989","2.8922377633459773","1.9199773073196411","4.337242232428657","2.5681597814883714","1.7141988542344835","3.5347468588087296","2.2373974796062637","1.524972942140367","3.3768587112426762","1.9624498041323675","1.4448153972625732","2.6974484390682645","1.7554828978982975","1.298646264606052","2.106240749359131"
"15","5.304582596561056","3.3593922191196017","8.045260376400417","5.212416109939415","3.199044386545817","7.648182498084173","4.704931061944844","2.804323143429227","6.925918102264404","4.201098642967366","2.4714450041453047","6.946434391869438","4.035255346033308","2.4513927433225846","6.031052536434597","3.538313307511954","2.272884633806017","5.5875271161397295","3.099389422822882","2.090552886327108","4.507218148973253","2.827857358956043","1.8291665183173285","4.033679803212484","2.42188572626055","1.6226893928315904","3.62809149424235","2.1235193326885318","1.422975884543525","3.074461301167806","1.8178063728559164","1.2966556284162734","2.2376865810818143"
"16","5.705559628981131","3.276103867424859","8.800721539391413","5.365589219662878","3.2533090644412574","7.642639001210529","4.988252339539705","2.7666721079084606","7.585655901167128","4.428263538413578","2.6716408464643693","6.696250385708279","4.316048468336647","2.6154359181722007","6.125580840640597","3.7096274462011127","2.306554701593187","6.311266104380289","3.447362511614222","2.278509987725152","5.366272449493408","3.183911899357666","1.9197172456317477","4.445947700076633","2.553536654254537","1.6451137993070815","3.9754512310028076","2.3250033441517086","1.5768509573406644","3.5565798017713757","1.8926849516085638","1.324734065267775","2.384870237774319"
"17","6.118585131786487","3.713241073820326","9.087221198611788","6.008811292548975","3.2483989927503796","9.021246645185682","5.4977302352587385","3.2938000096215143","8.603366004096136","4.935323902854213","2.873078796598646","7.422583050198025","4.70622898767024","3.094704813427396","6.740658813052708","3.9065674333660687","2.34147298336029","6.180322329203288","3.753294794647782","2.3793361584345503","5.546947691175673","3.251908435129825","1.9529584513770213","4.782869921790228","2.844345301021764","1.8189524412155151","4.394333362579345","2.4286371064774785","1.6393827332390682","3.5612973372141523","2.0241218744604677","1.3554648425843983","2.6871363586849633"
"18","6.416567972412817","4.073966450161404","8.36954747305976","6.309616511894597","3.688252422544691","10.263511657714844","6.0555794857166445","3.4062890211741133","9.038291215896606","5.269003718723485","3.2303330633375387","7.63918548160129","5.292364929193332","3.1460932890574136","7.674302789900039","4.5146910849912665","2.6965677738189697","7.525323920779758","3.9601524575257008","2.3903518517812095","6.592943827311199","3.6540253648051513","2.2894793351491294","5.382119549645318","3.096226942759973","2.0392704142464533","4.935190810097589","2.60444493279045","1.7688199281692505","3.768182913462321","2.0635311671613175","1.4581313530604043","2.571912315156725"
"19","6.830962691778017","4.345831526650323","9.262548870510525","6.676834486424922","3.545416037241618","10.527252409193249","6.283687519438473","3.353569428126017","10.083599209785461","5.800132086247573","3.4085453881157766","8.513885974884033","5.122795112339066","3.2144893805185957","7.628320482042101","4.661636428332623","2.85826932059394","7.131466441684299","4.309305015905404","2.795178598827786","6.883990711636014","3.8401094410154553","2.2924507988823786","5.922636376486884","3.2286426943761324","1.9570337798860338","4.844100899166531","2.807858835031957","2.003211259841919","4.110602405336168","2.073882374866509","1.4433444605933297","2.73655202653673"
"20","7.14951342197112","4.362466070387098","9.64756727218628","6.764513418906264","3.745653788248698","9.763590037822723","6.321531258247518","3.5252402623494463","9.645312097337511","5.845440657786381","3.269794570075141","9.290574232737224","5.563290806464207","2.9365146160125737","8.567309737205505","4.769643253750271","2.972936100429959","7.3467152913411455","4.408299115704902","2.5216179423862033","6.93790038426717","4.086975348584446","2.6074774530198837","5.834268040127224","3.3952471945020886","2.042014055781894","5.227464463975695","2.8439951932724608","1.7048833237753973","4.051426384184095","2.2312171733305775","1.5790268315209282","3.2071784072452116"
"21","7.447274820304212","4.614852481418187","10.413991689682007","7.35573172238138","4.212767548031278","11.119652218288845","6.730466345210134","3.7021344237857394","10.611498355865479","6.254729271670918","3.1022890673743353","9.439944903055826","5.998629009282147","3.328815539677938","9.005410618252224","5.031141152352462","2.9950616624620228","7.814507166544596","4.735509113029199","2.8322496944003634","7.6688511106703015","4.4779428740342455","2.9402825302547875","6.904973771837022","3.8564501592406524","2.419625997543335","5.709397739834255","3.141543828778797","1.8855293856726754","4.817573017544216","2.24882784449024","1.5439067814085217","3.1626066101921926"
"22","7.344732062316236","4.646801975038318","11.017239464653862","7.5052898112270565","4.764249033398099","10.602214389377169","7.132695970711885","3.713671816719903","11.137166976928707","6.4558469277841075","4.008813169267443","9.37335337532891","6.400571057090053","3.5582570499844017","9.221278084648981","5.26442696503651","3.184680991702609","7.986693382263184","4.937439724986936","2.821382204691569","8.143376032511394","4.613993928020383","2.886815468470255","6.37892085313797","3.7287996352454758","2.2534170548121137","5.7095052931043835","3.2507004391999894","1.9710412555270724","4.55951550271776","2.3202244448073115","1.576461500591702","3.001794179280599"
"23","7.835698208691162","4.1671710809071865","11.440880417823792","7.589053394065963","4.327368206448025","11.396889686584473","7.0848493737938965","3.0955613719092474","10.526295344034832","6.596592140050582","3.583063099119398","9.605266624026829","6.5316316132192265","4.016914182239109","9.512289047241211","5.538182074641004","3.3621488677130804","7.992977725134955","5.0545648019990805","2.627566827668084","7.932400544484457","4.87795165291539","3.041038407219781","7.62772274017334","4.194863958859148","2.532467550701565","6.911251862843831","3.350041445758608","2.1417201624976263","4.9764712651570635","2.4384739005271303","1.6501591735415988","3.670986413955688"
"24","8.110472156677716","4.6122125784556065","11.85280164082845","7.998665485117171","5.037772549523247","11.329895231458876","7.515316836627913","4.085617489284939","11.147332138485378","7.004631791585758","3.811040825313991","9.993242899576822","6.3815036467563955","3.9533278147379556","8.998828411102295","5.6315961480140695","3.4910205205281577","9.04515430662367","5.36203983830817","3.4035272598266606","8.632311979929606","5.1133110869078","2.882717715369331","7.3851816919114865","4.149704657954934","2.6913450029161248","6.089178880055746","3.5898531903455284","2.298799302842882","5.522282971276177","2.405693968505035","1.6697870095570881","3.4807769722408723"
"25","8.487720100967971","4.740792883767021","12.975804328918455","7.914789209763209","4.455322821935017","11.760128127204048","7.871755498426931","4.441632323794895","11.79000727335612","6.99632215205534","4.151006248262194","10.535067876180012","6.877567979288689","3.970894204245674","10.609764039516449","6.221453708631021","3.750393973456489","9.30483537250095","5.782130317187604","3.2805267439948187","8.836661338806152","5.257191025916442","3.1266245841979985","8.218835936652289","4.434076072257243","3.06688740518358","7.031253549787733","3.675806379612581","2.3551090293460426","5.429956012301975","2.5461959982359854","1.6503061188591852","3.604985263612535"
"26","8.642415297620092","5.21513409084744","12.358479075961641","8.25298804624213","4.765115658442179","11.719357596503363","7.453468141732393","4.198482327991061","10.762701869010925","7.038185305801439","3.904276053110759","10.351538658142092","7.025878139484075","4.1577028963300915","9.969845453898111","6.194560740465","3.7189377413855658","9.283378760019938","5.647174760147376","3.2274410194820824","7.939880728721619","5.311354150742661","2.776013639238146","8.73843569225735","4.770609559100352","2.8587854968176947","6.876756774054633","3.8662003727606784","2.300368693139818","6.163556045956082","2.77272806049865","1.8751650253931684","3.832496139738295"
"27","8.82591125111521","5.5282601780361595","12.323744985792372","8.693286384145418","4.711975256601969","12.337391005622017","8.117423827265517","4.592700242996217","12.046434044837952","7.880156543519762","3.928667359881931","11.450869454277885","6.96349796542415","3.8971967167324495","10.031073040432398","6.292253369166527","3.701217730840047","9.391317473517525","5.924065035802347","3.274624824523926","8.961783674028185","5.618222096084077","3.3975022633870444","8.17343145608902","4.82610798176424","3.0251225100623236","7.505709224277072","4.018086633196583","2.4096211327446833","5.915586418575709","2.8098240936243974","1.929056551721361","3.8220924271477594"
"28","9.206678019629583","5.9929518699646","12.317205429077148","8.692572734422154","4.427592145072089","12.07580554485321","8.11814891114647","4.5631700886620425","12.344957709312439","7.86888939215813","4.193221277660793","12.201203134324814","7.227208361213589","4.704378551907009","9.674171924591064","6.607896859263196","3.604462146759033","10.288343535529243","6.269956100870061","4.018710719214545","9.488293329874674","5.996830306671284","3.347189214494493","9.191246926784515","4.92722831684866","2.8760541280110674","7.018320825364855","4.1353735658857556","2.507874766985575","6.141336705949572","2.892502787304513","1.910078936152988","3.7360948026180267"
"29","9.200415639229762","5.637820508744982","13.36054473453098","8.886479238669079","4.646826108296712","12.657916598849825","8.150386607205427","4.885694874657524","11.764405992296005","7.595686521059201","4.491450362735324","11.479237450493706","7.385210153497294","4.183557139502631","11.815294861793518","6.785281592681084","4.249775330225627","9.683680057525635","6.2357618175906895","3.4338503678639727","9.79797151353624","6.0540062174384985","3.7423656516604957","9.158887969122993","5.265945269001855","3.1201248168945312","7.477146327495575","4.264038346431874","2.600300603442722","6.066998958587646","2.9054468785539083","1.7538532283571031","3.9861764378017845"
"30","9.10241730124862","5.00007849269443","13.897384855482315","8.971294331881735","4.9635557068718805","13.239904522895813","8.418657251346257","4.675241417355007","12.77573447757297","8.432893399839049","4.1192762056986485","12.24867057800293","7.638170454237196","3.920893960528904","11.577474117279053","7.090985290798141","4.121916055679321","10.380378087361654","6.394237157003379","3.6460853417714443","10.16247950659858","6.243564797036441","3.372928354475233","9.083972560034859","5.4955029745160795","3.193583859337701","7.668513192070854","4.481127801500721","2.371570971277025","6.891144752502441","3.077318046563937","1.8862537807888455","4.674876822365655"
"31","9.606058579904063","5.981435722774929","13.267959117889404","9.483359957734745","5.852145777808295","13.832082152366638","8.55483603477478","4.425648954179552","12.78840160369873","8.423512748730035","4.652502854665121","12.69687020778656","7.937495861524417","4.764575242996216","11.619494756062824","7.306787389296073","4.218328290515476","9.878809928894043","6.598111043005813","3.9110183715820312","9.662673049502903","6.325003858701682","3.9902911186218257","9.69778389400906","5.548059269233986","3.027149306403266","8.12158955468072","4.62447315160139","2.7801925341288247","7.274356047312419","3.2366344730059304","2.2780829932954574","4.389547348022461"