"Step","data:features decay:1 pretrained:true frozen:12","data:features decay:1 pretrained:true frozen:12__MIN","data:features decay:1 pretrained:true frozen:12__MAX","data:time-series decay:1 pretrained:true frozen:12","data:time-series decay:1 pretrained:true frozen:12__MIN","data:time-series decay:1 pretrained:true frozen:12__MAX"
"0","0.3004555414163124","0.28734439834024805","0.3143801867219907","0.2732719734555551","0.25985477178423155","0.28643724696356154"
"1","0.33356365015501716","0.31574170124481227","0.3560684647302893","0.3229735677834323","0.27820280082987464","0.38297064777327705"
"2","0.35330253381751936","0.3274766597510363","0.37558350622406517","0.3997769802871886","0.2955134854771775","0.5025303643724679"
"3","0.36706414619509586","0.3390819502074678","0.39075466804979125","0.4839311654561968","0.30750778008298657","0.5897014170040464"
"4","0.37442792649647166","0.34400933609958395","0.40683350622406506","0.5655040348170671","0.34841804979253","0.6761766194331947"
"5","0.3827423433437287","0.35619813278008183","0.4095565352697082","0.6352974980541055","0.4170124481327787","0.73526062753036"
"6","0.3919744693351087","0.367479253112032","0.4213563278008285","0.6982392035453588","0.5075207468879653","0.7964321862348146"
"7","0.39755153707094487","0.3679979253112021","0.43283195020746745","0.7527467986049314","0.591999481327802","0.8319838056680119"
"8","0.40331120751927535","0.37091545643153406","0.42907157676348406","0.7981243163699802","0.6726530082987604","0.8671558704453403"
"9","0.4048163310113229","0.36942427385891996","0.4289600202429123","0.8352748251027129","0.7299662863070595","0.8936614372469596"
"10","0.41000623199929653","0.37655601659750915","0.4437889004149363","0.8659670424998607","0.7848158713693018","0.9108046558704415"
"11","0.41415418050259006","0.38511410788381617","0.445669087136928","0.8883073367267569","0.8222899377593428","0.9233299595141667"
"12","0.41811468488622183","0.3858272821576751","0.45267116182572464","0.9072090652607743","0.8509465767634936","0.9402201417004026"
"13","0.42176595167832176","0.39004149377593234","0.44936462655601517","0.9202499496027075","0.886540456431545","0.946735829959512"
"14","0.42310439660434035","0.38388226141078713","0.45986773858921015","0.9312666591070775","0.9052774896265637","0.953631072874494"
"15","0.42311340862129615","0.3939963692946045","0.4557831950207454","0.941250661464551","0.9231068464730371","0.9585020242914984"
"16","0.42803291993548975","0.39373703319501946","0.4555886929460566","0.9485013103297718","0.9378890041493854","0.963815789473686"
"17","0.4282007067754486","0.3903008298755174","0.46369294605808975","0.9542364820912318","0.9380186721991775","0.9619424273858981"
"18","0.43278578184875793","0.3958765560165962","0.4589600622406624","0.9584086376303618","0.9474196058091353","0.9700784412955513"
"19","0.43346474545630853","0.40333246887966673","0.47173236514522665","0.9620870571337427","0.9505964730290524","0.9725455465587076"
"20","0.43392327921223256","0.40424014522821444","0.4629797717842309","0.9646911217225475","0.9559776970954433","0.9723807053941946"
"21","0.44051669247194847","0.40949170124481193","0.47899377593360837","0.96829572434918","0.9628501037344463","0.9762145748987909"
"22","0.43781317488049143","0.40793568464730157","0.4762707468879652","0.9699160499997244","0.9655082987551916","0.974585062240667"
"23","0.44337510592765383","0.4132520746887953","0.47691908713692793","0.9718732617598409","0.9663511410788426","0.9765300829875551"
"24","0.44199512989436923","0.40949170124481193","0.48016078838174114","0.9737352202921967","0.9643412863070584","0.9808957489878614"
"25","0.44771533995777646","0.4185036307053928","0.4861903526970938","0.9758577106933775","0.9696576763485512","0.9798203441295608"
"26","0.44715114103217235","0.416104771784231","0.48800570539418925","0.9762251326662265","0.9705653526970994","0.9797570850202494"
"27","0.4502951975107449","0.4166234439834011","0.4887837136929445","0.9784813450665746","0.9736125518672241","0.9826244813278031"
"28","0.45384537805440117","0.4232365145228202","0.4910529045643138","0.9790801338048324","0.9739367219917052","0.982754149377596"
"29","0.4552260832152712","0.4229771784232351","0.4927385892116166","0.9805585420621495","0.9736773858921203","0.9857667004048671"
"30","0.4586555785609873","0.4261540456431521","0.49481327800829716","0.9810255920282709","0.9749092323651487","0.9862095141700479"
"31","0.45797527335867955","0.4189574688796667","0.5009725103734424","0.9818988243896831","0.9784102697095461","0.9858932186234898"